"i","j","x"
25,1,1
53,1,1
100,1,1
107,1,1
21,2,0.757796947964967
29,2,1
30,2,1
59,2,1
78,2,0.757796947964967
50,3,1
111,3,1
7,4,1
20,4,1
66,4,1
77,4,1
82,4,1
103,4,1
106,4,0.646935590187334
1,5,1
2,5,0.863961328397164
58,5,1
12,6,0.72208599218895
14,6,1
21,6,0.652490448707857
37,6,1
46,6,1
65,6,1
75,6,1
78,6,0.652490448707857
9,7,0.779067934010297
12,7,0.691803310113864
26,7,0.779067934010297
27,7,0.779067934010297
28,7,0.779067934010297
48,7,1
51,7,0.779067934010297
80,7,1
90,7,0.779067934010297
32,8,1
19,9,1
39,9,1
40,9,1
64,9,1
98,9,1
99,9,1
108,9,1
70,10,1
102,10,1
105,10,1
106,10,0.762544649282234
2,11,0.503558162513734
9,11,0.62693951398594
15,11,1
22,11,1
23,11,1
24,11,1
26,11,0.62693951398594
27,11,0.62693951398594
28,11,0.62693951398594
42,11,1
44,11,1
47,11,1
51,11,0.62693951398594
71,11,1
90,11,0.62693951398594
56,12,1
81,12,1
88,12,1
52,13,1
73,13,1
74,13,1
95,13,1
96,13,0.607773375308171
104,13,1
62,14,1
67,14,1
83,14,1
4,15,1
6,15,1
13,15,1
17,15,1
18,15,1
31,15,1
34,15,1
36,15,1
41,15,1
43,15,1
49,15,1
55,15,1
57,15,1
60,15,1
61,15,1
63,15,1
76,15,1
79,15,1
87,15,1
92,15,1
94,15,1
97,15,1
68,16,1
84,16,1
85,16,1
86,16,1
91,16,1
93,16,1
101,16,1
109,16,1
110,16,1
16,17,1
69,17,1
72,17,1
89,17,1
38,18,1
96,18,0.794110523961566
5,19,1
11,20,1
3,21,1
8,21,1
10,21,1
33,21,1
35,21,1
45,21,1
54,21,1
51,22,0.707106781186547
20,23,1
90,24,0.5
10,25,0.614018507445719
76,26,0.456042019240024
17,27,0.216775483309039
106,28,0.566585695895509
94,29,0.577350269189626
40,30,0.377964473009227
6,31,0.254744497645132
13,31,0.181860967068952
25,31,0.335164945258345
36,31,0.277864634100898
49,31,0.49883024407582
61,31,0.36572676169445
63,31,0.326504618199071
65,31,0.422126662399579
75,31,0.376954404828642
79,31,0.412283673394826
19,32,0.267261241912424
25,33,0.582337106384007
41,34,0.447213595499958
107,35,0.362839101281675
107,36,0.362839101281675
92,37,0.408248290463863
102,38,0.20163750374837
90,39,0.5
41,40,0.447213595499958
70,41,1
58,42,0.283431543281325
62,42,0.283431543281325
66,42,0.283431543281325
39,43,0.398194975303187
101,44,0.447213595499958
58,45,0.283431543281325
62,45,0.283431543281325
66,45,0.283431543281325
76,46,0.456042019240024
33,47,0.370614618086829
19,48,0.267261241912424
3,49,0.56941540191384
45,49,0.579842666992418
16,50,0.743646358637681
91,51,0.389374253839556
3,52,0.633354290329716
2,53,1
109,54,0.577350269189626
13,55,0.315976926660691
52,56,0.333333333333333
52,57,0.333333333333333
52,58,0.333333333333333
32,59,0.316227766016838
11,60,0.874776099822757
99,61,0.5
48,62,0.707106781186547
92,63,0.408248290463863
71,64,0.666913951006638
8,65,0.895024637137755
19,66,0.267261241912424
32,67,0.316227766016838
32,68,0.316227766016838
17,69,0.216775483309039
75,70,0.654944797933492
77,71,0.56941540191384
103,71,0.580880761178959
33,72,0.370614618086829
86,73,0.809045954276243
56,74,1
82,75,0.743646358637681
40,76,0.377964473009227
26,77,1
37,77,0.497814080572508
57,77,0.600459148845942
80,77,0.511133696772731
30,78,1
91,79,0.389374253839556
95,80,0.596732020542835
19,81,0.267261241912424
40,82,0.377964473009227
21,83,0.5
107,84,0.362839101281675
